NOCCourseId,Duration,Duration (int)
noc22-ee19,12 Weeks,12
noc22-ee54,12 Weeks,12
noc22-ee55,12 Weeks,12
noc22-ee56,8 Weeks,8 
noc22-ee57,8 Weeks,8 
noc22-ee59,12 Weeks,12
noc22-ee61,12 Weeks,12
noc22-ee62,12 Weeks,12
noc22-ee63,8 Weeks,8 
noc22-ee64,4 Weeks,4 
noc22-hs61,12 Weeks,12
noc22-hs62,12 Weeks,12
noc22-hs63,12 Weeks,12
noc22-mg11,12 Weeks,12
noc22-mg16,12 Weeks,12
noc22-mg23,12 Weeks,12
noc22-mg24,12 Weeks,12
noc22-mg26,12 Weeks,12
noc22-mg27,12 Weeks,12
noc22-mg45,12 Weeks,12
noc22-mg46,8 Weeks,8 
noc22-mg48,12 Weeks,12
noc22-mg50,8 Weeks,8 
