NOCCourseId,Duration,Duration (int)
noc22-bt58,4 weeks,4 
noc22-bt59,12 Weeks,12
noc22-bt60,12 Weeks,12
noc22-bt62,12 Weeks,12
noc22-bt63,12 Weeks,12
noc22-bt64,8 Weeks,8 
noc22-ch39,12 Weeks,12
noc22-ch40,12 Weeks,12
noc22-ch43,12 Weeks,12
noc22-ch44,12 Weeks,12
noc22-ch45,12 Weeks,12
noc22-ch47,12 Weeks,12
noc22-ch48,12 Weeks,12
noc22-ch50,12 Weeks,12
noc22-ch51,12 Weeks,12
noc22-ch52,12 Weeks,12
noc22-ch53,12 Weeks,12
noc22-ch54,12 Weeks,12
noc22-ch55,12 Weeks,12
noc22-ch56,12 Weeks,12
noc22-ch58,12 Weeks,12
noc22-ch59,12 Weeks,12
noc22-ch60,12 Weeks,12
noc22-ch61,12 Weeks,12
noc22-ch62,12 Weeks,12
noc22-ch65,12 Weeks,12
noc22-cy39,12 Weeks,12
noc22-cy40,12 Weeks,12
noc22-cy41,12 Weeks,12
noc22-cy43,12 Weeks,12
noc22-cy44,12 Weeks,12
noc22-cy46,8 Weeks,8 
noc22-cy48,12 Weeks,12
noc22-cy49,12 Weeks,12
noc22-cy50,12 Weeks,12
noc22-cy51,12 Weeks,12
noc22-cy52,12 Weeks,12
noc22-cy54,12 Weeks,12
noc22-cy55,12 Weeks,12
noc22-cy56,12 Weeks,12
noc22-cy58,12 Weeks,12
noc22-cy59,12 Weeks,12
noc22-cy60,12 Weeks,12
noc22-cy61,12 Weeks,12
noc22-cy62,12 Weeks,12
noc22-oe02,12 Weeks,12
noc22-ce102,12 Weeks,12
noc22-ce54,12 Weeks,12
noc22-ce55,12 Weeks,12
noc22-ce57,4 weeks,4 
noc22-ce58,12 Weeks,12
noc22-ce61,12 Weeks,12
noc22-ce62,12 Weeks,12
noc22-ce63,12 Weeks,12
noc22-ce64,12 Weeks,12
noc22-ce65,12 Weeks,12
noc22-ce66,12 Weeks,12
noc22-ce67,12 Weeks,12
noc22-ce68,12 Weeks,12
noc22-ce69,12 Weeks,12
noc22-ce70,12 Weeks,12
noc22-ce72,8 Weeks,8 
noc22-ce74,12 Weeks,12
noc22-ce75,12 Weeks,12
noc22-ce76,12 Weeks,12
noc22-ce77,12 Weeks,12
noc22-ce78,12 Weeks,12
noc22-ce80,12 Weeks,12
noc22-ce82,12 Weeks,12
noc22-ce83,12 Weeks,12
noc22-ce85,12 Weeks,12
noc22-ce87,12 Weeks,12
noc22-ce90,12 Weeks,12
noc22-ce91,12 Weeks,12
noc22-ce92,12 Weeks,12
noc22-ce93,12 Weeks,12
noc22-ce94,12 Weeks,12
noc22-ce95,12 Weeks,12
noc22-ce96,12 Weeks,12
noc22-ce103,12 Weeks,12
noc22-cs61,12 Weeks,12
noc22-cs62,12 Weeks,12
noc22-cs64,8 Weeks,8 
noc22-cs65,8 Weeks,8 
noc22-cs67,12 Weeks,12
noc22-cs73,12 Weeks,12
noc22-cs75,12 Weeks,12
noc22-cs76,12 Weeks,12
noc22-cs77,12 Weeks,12
noc22-cs80,12 Weeks,12
noc22-cs81,12 Weeks,12
noc22-cs82,12 Weeks,12
noc22-cs83,12 Weeks,12
noc22-cs85,12 Weeks,12
noc22-cs87,12 Weeks,12
noc22-cs88,12 Weeks,12
noc22-cs89,12 Weeks,12
noc22-cs90,12 Weeks,12
noc22-cs91,8 Weeks,8 
noc22-cs92,12 Weeks,12
noc22-cs95,12 Weeks,12
noc22-cs96,12 Weeks,12
noc22-cs98,12 Weeks,12
noc22-cs100,12 Weeks,12
noc22-cs101,12 Weeks,12
noc22-cs102,12 Weeks,12
noc22-cs103,12 Weeks,12
noc22-cs104,12 Weeks,12
noc22-cs106,12 Weeks,12
noc22-cs107,12 Weeks,12
noc22-cs109,12 Weeks,12
noc22-cs113,12 Weeks,12
noc22-cs114,4 weeks,4 
noc22-cs116,12 Weeks,12
noc22-cs117,12 Weeks,12
noc22-cs120,12 Weeks,12
noc22-cs121,12 Weeks,12
noc22-cs122,12 Weeks,12
noc22-cs123,12 Weeks,12
noc22-cs124,12 Weeks,12
noc22-cs125,12 Weeks,12
noc22-cs126,12 Weeks,12
noc22-de09,12 Weeks,12
noc22-de10,12 Weeks,12
noc22-de11,12 Weeks,12
noc22-de12,12 Weeks,12
noc22-ce98,12 Weeks,12
noc22-ce99,12 Weeks,12
noc22-ce100,4 Weeks,4 
noc22-hs70,12 Weeks,12
noc22-hs71,12 Weeks,12
noc22-hs72,12 weeks,12
noc22-hs140,12 Weeks,12
noc22-ee68,12 Weeks,12
noc22-ee69,12 Weeks,12
noc22-ee71,12 Weeks,12
noc22-ee72,12 Weeks,12
noc22-ee74,12 Weeks,12
noc22-ee75,12 Weeks,12
noc22-ee76,12 Weeks,12
noc22-ee77,12 Weeks,12
noc22-ee83,12 Weeks,12
noc22-ee84,12 Weeks,12
noc22-ee85,12 Weeks,12
noc22-ee86,12 Weeks,12
noc22-ee87,12 Weeks,12
noc22-ee88,12 Weeks,12
noc22-ee89,12 Weeks,12
noc22-ee90,12 Weeks,12
